Regulator	Target	Weight
Fos	0610009o20rik	0.5
Fos	1110007c09rik	-0.5
Fosb	1110007c09rik	-0.5
Jun	1110007c09rik	-0.5
Egr1	1110032f04rik	-0.5
Egr1	1110034g24rik	0.5
Rreb1	1110034g24rik	0.5
Egr1	1110038b12rik	0.5
Fos	1110038b12rik	0.5
Atf3	1110057k04rik	0.5
Atf3	1190002n15rik	0.5
Egr1	1190002n15rik	0.5
Fos	1190002n15rik	0.5
Klf4	1190002n15rik	0.5
Srf	1190002n15rik	0.5
Egr1	1300002k09rik	0.5
Fos	1300002k09rik	0.5
Klf4	1300002k09rik	0.5
Bcl6	1500012f01rik	1.0
Egr1	1500012f01rik	0.5
Fos	1500012f01rik	0.5
Klf4	1500012f01rik	0.5
Srf	1500012f01rik	0.5
Atf3	1600029i14rik	0.5
Egr1	1600029i14rik	0.5
Fos	1600029i14rik	0.5
Atf3	1700001l05rik	-0.5
Egr1	1700001l05rik	-0.5
Fos	1700001l05rik	-0.5
Klf4	1700001l05rik	-0.5
Egr1	1700023e05rik	0.5
Fos	1700023e05rik	0.5
Klf4	1700023e05rik	0.5
Egr1	1700030j22rik	-0.5
Jun	1700030j22rik	-0.5
Klf4	1700030j22rik	-0.5
Fos	1700086o06rik	0.5
Atf3	1700096k18rik	0.5
Egr1	1700096k18rik	0.5
Fos	1700096k18rik	0.5
Klf4	1700096k18rik	0.5
Srf	1700096k18rik	0.5
Atf3	1810011h11rik	0.5
Egr1	1810043g02rik	0.5
Fos	1810043g02rik	0.5
Klf4	1810043g02rik	0.5
Srf	1810043g02rik	0.5
Egr1	2010107g12rik	-0.5
Fos	2010107g12rik	-0.5
Fosb	2010107g12rik	-0.5
Jun	2010107g12rik	-0.5
Atf3	2010111i01rik	-0.5
Egr1	2010111i01rik	-0.5
Fos	2010111i01rik	-0.5
Fosb	2010111i01rik	-0.5
Jun	2010111i01rik	-0.5
Klf4	2010111i01rik	-0.5
Atf3	2010300c02rik	-0.5
Egr1	2010300c02rik	-0.5
Jun	2010300c02rik	-0.5
Egr1	2310003h01rik	-0.5
Atf3	2310022b05rik	-0.5
Egr1	2310022b05rik	-0.5
Klf4	2310022b05rik	-0.5
Egr1	2610002j02rik	0.5
Fos	2610002j02rik	0.5
Klf4	2610002j02rik	0.5
Atf3	2610035d17rik	-0.5
Egr1	2610035d17rik	-0.5
Fos	2610035d17rik	-0.5
Jun	2610035d17rik	-0.5
Atf3	2700029m09rik	0.5
Egr1	2700029m09rik	0.5
Fos	2700029m09rik	0.5
Klf4	2700029m09rik	0.5
Atf3	2700094k13rik	0.5
Egr1	2700094k13rik	0.5
Fos	2700094k13rik	0.5
Egr1	2810429i04rik	-0.5
Atf3	2810442i21rik	-0.5
Bcl11a	2810442i21rik	-1.0
Egr1	2810442i21rik	-1.5
Fos	2810442i21rik	-0.5
Fosb	2810442i21rik	-0.5
Jun	2810442i21rik	-0.5
Atf3	2810474o19rik	-0.5
Bcl6	2810474o19rik	-0.5
Atf3	2900026a02rik	0.5
Egr1	2900026a02rik	0.5
Fos	2900026a02rik	0.5
Klf4	2900026a02rik	0.5
Rreb1	2900026a02rik	0.5
Srf	2900026a02rik	0.5
Atf3	3110002h16rik	-0.5
Egr1	3110002h16rik	-0.5
Fosb	3110002h16rik	-0.5
Jun	3110002h16rik	-0.5
Klf4	3110002h16rik	-0.5
Egr1	3110040n11rik	0.5
