Regulator	Target	Weight
Foxp1	2310061j03rik	0.25
E2f1	4632415l05rik	-0.25
Elf1	4632415l05rik	-0.25
Cebpb	4930513n10rik	0.25
Stat3	4931406h21rik	0.25
Foxp1	6330407a03rik	0.25
Stat3	6330407a03rik	0.25
Foxp1	A530032d15rik	0.25
Stat3	Abt1	0.25
Cebpa	Abtb2	0.25
Cebpb	Abtb2	0.25
Stat3	Abtb2	0.25
Stat3	Acot11	0.25
Cebpa	Actn1	0.25
Cebpb	Actn1	0.25
Foxp1	Actn1	0.25
Bclaf1	Adamtsl4	-0.25
E2f4	Adamtsl4	-0.25
Egr1	Adamtsl4	-0.25
Elf1	Adamtsl4	-0.25
Elf2	Adamtsl4	-0.25
Elk1	Adamtsl4	-0.25
Ets1	Adamtsl4	-0.25
Etv6	Adamtsl4	-0.25
Fli1	Adamtsl4	-0.25
Fos	Adamtsl4	-0.25
Gabpa	Adamtsl4	-0.25
Irf1	Adamtsl4	-0.25
Irf3	Adamtsl4	-0.25
Irf4	Adamtsl4	-0.25
Irf9	Adamtsl4	-0.25
Nfya	Adamtsl4	-0.25
Nrf1	Adamtsl4	-0.25
Pbx3	Adamtsl4	-0.25
Rest	Adamtsl4	-0.25
Rfx5	Adamtsl4	-0.25
Sp1	Adamtsl4	-0.25
Sp2	Adamtsl4	-0.25
Sp3	Adamtsl4	-0.25
Sp4	Adamtsl4	-0.25
Stat1	Adamtsl4	-0.25
Stat3	Adamtsl4	-0.25
Tbp	Adamtsl4	-0.25
Ybx1	Adamtsl4	-0.25
Foxp1	Adora2a	0.25
Stat3	Adora2a	0.25
Stat3	Adora2b	0.25
Foxp1	Adss	0.25
Cebpa	Agpat4	0.25
Cebpb	Agpat4	0.25
Pbx1	Agpat4	0.25
Stat3	Agpat4	0.25
Cebpa	Agr2	0.25
Foxp1	Akt3	0.25
Stat3	Akt3	0.25
Foxp1	Alcam	0.25
Stat3	Alcam	0.25
Foxp1	Alpk2	0.25
Stat3	Alpk2	0.25
Egr1	Amica1	-0.25
Elf1	Amica1	-0.25
Elk1	Amica1	-0.25
Ets1	Amica1	-0.25
Fli1	Amica1	-0.25
Fos	Amica1	-0.25
Gabpa	Amica1	-0.25
Hsf1	Amica1	-0.25
Hsf2	Amica1	-0.25
Irf1	Amica1	-0.25
Irf3	Amica1	-0.25
Irf4	Amica1	-0.25
Irf8	Amica1	-0.25
Irf9	Amica1	-0.25
Pbx3	Amica1	-0.25
Sp2	Amica1	-0.25
Spdef	Amica1	-0.25
Stat1	Amica1	-0.25
Stat2	Amica1	-0.25
Thap1	Amica1	-0.25
Cebpa	Ankrd28	0.25
Cebpb	Ankrd28	0.25
Stat3	Ankrd28	0.25
Foxp1	Ankrd33b	0.25
Bclaf1	Anln	-0.25
E2f1	Anln	-0.25
E2f4	Anln	-0.25
Egr1	Anln	-0.25
Elf1	Anln	-0.25
Etv6	Anln	-0.25
Fli1	Anln	-0.25
Fos	Anln	-0.25
Irf1	Anln	-0.25
Irf4	Anln	-0.25
Klf16	Anln	-0.25
Klf7	Anln	-0.25
Nrf1	Anln	-0.25
Pbx3	Anln	-0.25
Rest	Anln	-0.25
Sp1	Anln	-0.25
Sp2	Anln	-0.25
Sp3	Anln	-0.25
Sp4	Anln	-0.25
Srf	Anln	-0.25
Stat2	Anln	-0.25
Stat3	Anln	-0.25
Tbp	Anln	-0.25
Yy1	Anln	-0.25
Bclaf1	Ap3m2	-0.25
E2f1	Ap3m2	-0.25
E2f4	Ap3m2	-0.25
Egr1	Ap3m2	-0.25
Elf2	Ap3m2	-0.25
Ets1	Ap3m2	-0.25
Fli1	Ap3m2	-0.25
Fos	Ap3m2	-0.25
Gabpa	Ap3m2	-0.25
Irf1	Ap3m2	-0.25
Irf3	Ap3m2	-0.25
Irf4	Ap3m2	-0.25
Irf7	Ap3m2	-0.25
Irf8	Ap3m2	-0.25
Irf9	Ap3m2	-0.25
Nfya	Ap3m2	-0.25
Nfyc	Ap3m2	-0.25
Pbx3	Ap3m2	-0.25
Rest	Ap3m2	-0.25
Rfx5	Ap3m2	-0.25
Sp1	Ap3m2	-0.25
Sp2	Ap3m2	-0.25
Sp3	Ap3m2	-0.25
Sp4	Ap3m2	-0.25
Stat1	Ap3m2	-0.25
Stat2	Ap3m2	-0.25
Stat3	Ap3m2	-0.25
Tbp	Ap3m2	-0.25
Yy1	Ap3m2	-0.25
Cebpa	Aph1c	0.25
Cebpb	Aph1c	0.25
Foxp1	Aph1c	0.25
Stat3	Aph1c	0.25
Foxp1	Arap2	0.25
Stat3	Arap2	0.25
Elf1	Arhgap19	-0.25
