Regulator	Target	Weight
Bach1	0610031j06rik	-3.0
Batf2	0610031j06rik	-1.5
Fos	0610031j06rik	-0.5
Fosb	0610031j06rik	-0.5
Maf	0610031j06rik	-1.5
Mef2c	0610031j06rik	-1.5
Mycn	0610031j06rik	-1.5
Nfe2	0610031j06rik	-3.0
Spib	0610031j06rik	-1.5
Mef2c	1110034g24rik	1.5
Pbx1	1110034g24rik	1.5
Plagl1	1110034g24rik	0.5
Six5	1110034g24rik	1.5
Tcf7l1	1110034g24rik	5.0
Tcf7l2	1110034g24rik	5.0
Casz1	1110037f02rik	3.0
Peg3	1110037f02rik	3.0
Pou5f2	1110037f02rik	1.5
Prdm14	1110037f02rik	3.0
Prdm5	1110037f02rik	3.0
Prdm9	1110037f02rik	3.0
Six5	1110037f02rik	1.5
Sp6	1110037f02rik	4.5
Trps1	1110037f02rik	3.0
Zbtb16	1110037f02rik	3.0
Zbtb49	1110037f02rik	3.0
Zfp105	1110037f02rik	3.0
Zfp112	1110037f02rik	3.0
Zfp449	1110037f02rik	3.0
Zfp462	1110037f02rik	3.0
Zfp467	1110037f02rik	3.0
Zfp57	1110037f02rik	3.0
Zfp629	1110037f02rik	3.0
Zfp647	1110037f02rik	3.0
Zfp667	1110037f02rik	3.0
Zfp697	1110037f02rik	3.0
Zfp768	1110037f02rik	3.0
Zfp92	1110037f02rik	3.0
Atf3	1700019b03rik	1.5
Casz1	1700019b03rik	4.5
Erg	1700019b03rik	3.0
Ets2	1700019b03rik	3.0
Fos	1700019b03rik	1.5
Fosb	1700019b03rik	1.5
Hes1	1700019b03rik	1.5
Hey1	1700019b03rik	1.5
Hey2	1700019b03rik	1.5
Heyl	1700019b03rik	1.5
Klf3	1700019b03rik	3.0
Klf4	1700019b03rik	3.0
Klf5	1700019b03rik	3.0
Klf8	1700019b03rik	3.0
Klf9	1700019b03rik	3.0
Peg3	1700019b03rik	4.5
Prdm14	1700019b03rik	4.5
Prdm5	1700019b03rik	4.5
Prdm9	1700019b03rik	4.5
Six5	1700019b03rik	1.5
Sp6	1700019b03rik	6.0
Tbx2	1700019b03rik	1.5
Tbx3	1700019b03rik	1.5
Trps1	1700019b03rik	4.5
Zbtb16	1700019b03rik	4.5
Zbtb49	1700019b03rik	4.5
Zfp105	1700019b03rik	4.5
Zfp112	1700019b03rik	4.5
Zfp449	1700019b03rik	4.5
Zfp462	1700019b03rik	4.5
Zfp467	1700019b03rik	4.5
Zfp516	1700019b03rik	0.5
Zfp57	1700019b03rik	4.5
Zfp629	1700019b03rik	4.5
Zfp647	1700019b03rik	4.5
Zfp667	1700019b03rik	4.5
Zfp697	1700019b03rik	4.5
Zfp768	1700019b03rik	4.5
Zfp92	1700019b03rik	4.5
Atf3	2310030g06rik	1.5
Fos	2310030g06rik	1.5
Fosb	2310030g06rik	1.5
Mxi1	2310030g06rik	1.5
Mycn	2310030g06rik	1.5
Nfia	2310030g06rik	0.5
Nfib	2310030g06rik	0.5
Nfix	2310030g06rik	0.5
Pbx1	2310030g06rik	1.5
Sp6	2310030g06rik	6.0
Klf3	2700099c18rik	1.5
Klf4	2700099c18rik	1.5
Klf5	2700099c18rik	1.5
Klf8	2700099c18rik	1.5
Klf9	2700099c18rik	1.5
Sp6	2700099c18rik	1.5
Erg	4930503l19rik	1.5
Ets2	4930503l19rik	1.5
Ahr	4931440p22rik	1.5
Ahrr	4931440p22rik	1.5
Casz1	4931440p22rik	1.5
Elf1	4931440p22rik	1.5
Epas1	4931440p22rik	1.5
Foxo1	4931440p22rik	1.5
Foxo3	4931440p22rik	1.5
Hif3a	4931440p22rik	1.5
Nfia	4931440p22rik	0.5
Nfib	4931440p22rik	0.5
Nfix	4931440p22rik	0.5
Pax5	4931440p22rik	1.5
Peg3	4931440p22rik	1.5
Pou5f2	4931440p22rik	1.5
Prdm14	4931440p22rik	1.5
Prdm5	4931440p22rik	1.5
Prdm9	4931440p22rik	1.5
Spib	4931440p22rik	1.5
Trps1	4931440p22rik	1.5
Zbtb16	4931440p22rik	1.5
Zbtb49	4931440p22rik	1.5
Zfp105	4931440p22rik	1.5
Zfp112	4931440p22rik	1.5
Zfp449	4931440p22rik	1.5
Zfp462	4931440p22rik	1.5
Zfp467	4931440p22rik	1.5
Zfp57	4931440p22rik	1.5
Zfp629	4931440p22rik	1.5
Zfp647	4931440p22rik	1.5
Zfp667	4931440p22rik	1.5
Zfp697	4931440p22rik	1.5
Zfp768	4931440p22rik	1.5
Zfp92	4931440p22rik	1.5
Mef2c	4932438a13rik	1.5
